Note ON: Channel: 1, Note: 60, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 40
Control Change: Channel: 1, Control: 7, Value: 40
Control Change: Channel: 1, Control: 2, Value: 36
Control Change: Channel: 1, Control: 7, Value: 36
Control Change: Channel: 1, Control: 2, Value: 34
Control Change: Channel: 1, Control: 7, Value: 34
Control Change: Channel: 1, Control: 2, Value: 30
Control Change: Channel: 1, Control: 7, Value: 30
Control Change: Channel: 1, Control: 2, Value: 26
Control Change: Channel: 1, Control: 7, Value: 26
Control Change: Channel: 1, Control: 2, Value: 22
Control Change: Channel: 1, Control: 7, Value: 22
Control Change: Channel: 1, Control: 2, Value: 18
Control Change: Channel: 1, Control: 7, Value: 18
Control Change: Channel: 1, Control: 2, Value: 16
Control Change: Channel: 1, Control: 7, Value: 16
Control Change: Channel: 1, Control: 2, Value: 10
Control Change: Channel: 1, Control: 7, Value: 10
Control Change: Channel: 1, Control: 2, Value: 8
Control Change: Channel: 1, Control: 7, Value: 8
Control Change: Channel: 1, Control: 2, Value: 4
Control Change: Channel: 1, Control: 7, Value: 4
Control Change: Channel: 1, Control: 2, Value: 0
Control Change: Channel: 1, Control: 7, Value: 0
Note OFF (via NOTE_ON with velocity 0): Channel: 1, Note: 62
Note ON: Channel: 1, Note: 64, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 7
Control Change: Channel: 1, Control: 7, Value: 7
Control Change: Channel: 1, Control: 2, Value: 13
Control Change: Channel: 1, Control: 7, Value: 13
Control Change: Channel: 1, Control: 2, Value: 19
Control Change: Channel: 1, Control: 7, Value: 19
Control Change: Channel: 1, Control: 2, Value: 23
Control Change: Channel: 1, Control: 7, Value: 23
Control Change: Channel: 1, Control: 2, Value: 29
Control Change: Channel: 1, Control: 7, Value: 29
Control Change: Channel: 1, Control: 2, Value: 35
Control Change: Channel: 1, Control: 7, Value: 35
Control Change: Channel: 1, Control: 2, Value: 41
Control Change: Channel: 1, Control: 7, Value: 41
